model,regime_control,ann_ret,ann_vol,sharpe,max_dd,calmar
ElasticNet,True,0.07985109648716394,0.1615039727402435,0.4944218716872881,0.42718202408298445,0.18692522621610141
ElasticNet,False,0.07985109648716394,0.1615039727402435,0.4944218716872881,0.42718202408298445,0.18692522621610141
HAR-RV,True,-0.06849776352889136,0.1584094047459248,-0.43240970218123065,0.4627174880047789,-0.14803366050470934
HAR-RV,False,-0.06849776352889136,0.1584094047459248,-0.43240970218123065,0.4627174880047789,-0.14803366050470934
GradientBoosting,True,-0.2714346957477015,0.1643001467079893,-1.6520660582861346,0.7186044097605218,-0.3777247844028099
GradientBoosting,False,-0.2714346957477015,0.1643001467079893,-1.6520660582861346,0.7186044097605218,-0.3777247844028099
CatBoost,True,-0.10569254475983178,0.16105414732747836,-0.6562547224873543,0.5574786121550933,-0.18959031334179255
CatBoost,False,-0.10569254475983178,0.16105414732747836,-0.6562547224873543,0.5574786121550933,-0.18959031334179255
LSTM,True,0.10622026582558947,0.16355845747667822,0.6494330373636313,0.4562346236919228,0.23281938789747753
LSTM,False,0.10622026582558947,0.16355845747667822,0.6494330373636313,0.4562346236919228,0.23281938789747753
TFT,True,0.2019278304590308,0.17066559143347423,1.183178335849512,0.5898258240971216,0.3423516268860094
TFT,False,0.2019278304590308,0.17066559143347423,1.183178335849512,0.5898258240971216,0.3423516268860094
ensemble,True,0.27690770522566954,0.16200550336451805,1.709248756831535,0.343133157473377,0.8069978059382216
