model,ann_ret,ann_vol,sharpe,max_dd,calmar
ElasticNet,-0.3260013915296938,0.1539526234343304,-2.11754359397943,0.3673484138987783,-0.8874446688628482
HAR-RV,-0.373077631661889,0.1559829069374343,-2.3917853499905135,0.36682206545860524,-1.0170534076118432
GradientBoosting,0.01610582982329762,0.154554669469437,0.10420797947151333,0.18678715378896155,0.08622557545630002
CatBoost,-0.07730330114961523,0.154609803085015,-0.4999896488265275,0.26688731103864105,-0.2896477200387505
