model,mean_ic,std_ic,median_ic,pos_rate,ic_ir
CatBoost,0.002590467819516941,0.31464685681516674,-0.011933797909407667,0.48115079365079366,0.008232937222820126
ElasticNet,-0.014664173205094668,0.33978744539614786,-0.026494237469847227,0.4712301587301587,-0.043156901185675514
GradientBoosting,0.006785636525716228,0.2983672387526852,0.0013203386577173189,0.5029761904761905,0.02274256568543975
HAR-RV,-0.0221703788938443,0.35929793797927007,-0.014292414902171003,0.4791666666666667,-0.061704720651982806
LSTM,0.0436995219340064,0.3383280287655654,0.05791342803537926,0.5357142857142857,0.12916317366151983
TFT,-0.007226369571289227,0.3714144723376071,-0.054268292682926836,0.45535714285714285,-0.019456348929560895
