Date,Daily_Spread,Daily_Spread_VolScaled,Cumulative_Value
2018-08-20,0.02728863052123551,,
2018-08-21,0.026838032428899556,,
2018-08-22,0.01762154469803465,,
2018-08-23,0.014291214792888994,,
2018-08-24,-0.007600487822854269,,
2018-08-27,-0.029071101188408388,,
2018-08-28,-0.019334549310046967,,
2018-08-29,-0.016174160508960447,,
2018-08-30,0.008387544409149591,,
2018-08-31,0.019256969847051494,,
2018-09-04,0.0063689452923236505,,
2018-09-05,-0.004523673331350125,,
2018-09-06,-0.013038644583949342,,
2018-09-07,-0.019867110623157515,,
2018-09-10,-0.007865813390566065,,
2018-09-11,0.010177927976300195,,
2018-09-12,0.019450416211157718,,
2018-09-13,0.014967860005541952,,
2018-09-14,0.012545479186380746,,
2018-09-17,0.014677291846650514,,
2018-09-18,0.03128310727590583,,
2018-09-19,0.02560388716843575,,
2018-09-20,0.008148082744720897,,
2018-09-21,0.0011638075787599022,,
2018-09-24,-0.005294320940538012,,
2018-09-25,-0.003937662427985064,,
2018-09-26,-0.007499663535392113,,
2018-09-27,-0.008991748352757303,,
2018-09-28,-0.002835981321505939,,
2018-10-01,0.010387548091415105,,
2018-10-02,0.012076765669443039,,
2018-10-03,0.014515760762757663,,
2018-10-04,0.03569554830376513,,
2018-10-05,0.05110573263281482,,
2018-10-08,0.04181112761143362,,
2018-10-09,0.02250141092417829,,
2018-10-10,0.005883959665524442,,
2018-10-11,-0.016501024318425594,,
2018-10-12,0.008407627092795153,,
2018-10-15,-0.007019391464834069,,
2018-10-16,0.04651001442233544,,
2018-10-17,0.05831135175950186,,
2018-10-18,0.032301924831821954,,
2018-10-19,0.04221666095247404,,
2018-10-22,0.05201071500315175,,
2018-10-23,0.011840737649961419,,
2018-10-24,-0.017454818976672518,,
2018-10-25,0.003363112759265097,,
2018-10-26,-0.004050498077032116,,
2018-10-29,-0.026595231467699168,,
2018-10-30,0.0017059375786885132,,
2018-10-31,-0.006597823426842503,,
2018-11-01,-0.015344935705903166,,
2018-11-02,0.016816780973544474,,
2018-11-05,0.03818191928956197,,
2018-11-06,0.07429027233826324,,
2018-11-07,0.10124629485787676,,
2018-11-08,0.05022175697459337,,
2018-11-09,0.05610202054948297,,
2018-11-12,0.03895152472407987,,
2018-11-13,0.05354045846832846,,
2018-11-14,0.006226336165580061,,
2018-11-15,0.07306996365212404,0.02563650881023525,1.0256365088102353
2018-11-16,0.04179550477862465,0.014575277037497404,1.040585445065916
2018-11-19,0.04321943508892169,0.0149690426189768,1.0561620129417946
2018-11-20,-0.014866169572142367,-0.005097565987765834,1.0507781573870523
2018-11-21,0.005990545824451238,0.0020522282150962205,1.052934593969449
2018-11-23,-0.03392076108529302,-0.011394395081532234,1.0409370412107484
2018-11-26,-0.011973818824457937,-0.004073005656209099,1.0366972987541394
2018-11-27,0.02450232899280447,0.008435631377626696,1.0454424950166106
2018-11-28,0.004018937027946586,0.0013970791543721614,1.0469030609334933
2018-11-29,0.035940442739781836,0.012451055368967118,1.0599381089111175
2018-11-30,0.0326014974777432,0.011264534411811569,1.0718778182133373
2018-12-03,0.050854796797052265,0.017382744553854072,1.0905099965202822
2018-12-04,0.010037217179444016,0.0034467031979110883,1.0942686608126426
2018-12-06,-0.007159462402258485,-0.002467159999305467,1.091568924944192
2018-12-07,-0.01677152365834222,-0.005793454074291617,1.0852449705086038
2018-12-10,-0.02519299155003184,-0.008592957960502946,1.075919506100176
2018-12-11,0.014655140502736322,0.0050011497215027454,1.0813003406384685
2018-12-12,0.036793734916234735,0.012509481497238323,1.094826847242643
2018-12-13,0.05678636267647669,0.019018128077876163,1.1156484044466008
2018-12-14,0.05906640942911512,0.019476796755980692,1.1373776616711415
2018-12-17,0.07940484510360762,0.025325492653781104,1.1661823112863687
2018-12-18,0.018934327788842884,0.006045452552290094,1.1732324111165706
2018-12-19,0.0331343928410704,0.010566082783035141,1.1856288818961682
2018-12-20,0.035575306329214226,0.011337272961556514,1.1990706801613302
2018-12-21,-0.011423307150889163,-0.0036188828346840154,1.1947313838593214
2018-12-24,-0.05562503240799726,-0.01685945699274791,1.1745888614752589
2018-12-26,0.0205976006479273,0.006272873525650052,1.1819569088479305
2018-12-27,-0.020616714792974996,-0.006232074423380116,1.1745908654267618
2018-12-28,-0.008255725522574937,-0.002496430880627787,1.1716585805182071
2018-12-31,-0.04557151809156864,-0.013372285439056514,1.1559908275423978
2019-01-02,-0.05781621463622929,-0.01624836067274112,1.1372078716421083
2019-01-03,-0.07950527106286226,-0.020982941213814898,1.1133459057235544
2019-01-04,-0.04957027373957546,-0.012739716719134013,1.0991621942742287
2019-01-07,-0.07377687717718269,-0.018172029344402943,1.079188186625619
2019-01-08,-0.0596361630448799,-0.014387763478714012,1.0636610822474273
2019-01-09,-0.038264730187766334,-0.009155863597726785,1.0539223464641594
2019-01-10,-0.03673582489490224,-0.00869641939348284,1.0447569957311436
2019-01-11,-0.03928728927818595,-0.009190054965184208,1.0351556215151136
2019-01-14,-0.026589583499937668,-0.006200784887512765,1.0287368441809988
2019-01-15,0.016494574760624017,0.003845619603260536,1.0326929747555775
2019-01-16,0.00960671459540468,0.002242744951176254,1.0350090417108258
2019-01-17,0.015507127298671389,0.0036444092263996633,1.0387810382118436
2019-01-18,0.029073926086857767,0.006903301069896194,1.0459520564643194
2019-01-22,0.002522031625565139,0.0006004736798612062,1.046580123144623
2019-01-23,0.019386076694099946,0.0046404784834394785,1.051436755687271
2019-01-24,0.020647304563370224,0.00498920974815656,1.056682594198316
2019-01-25,-0.008569011217861355,-0.0020681641194383532,1.05449720117136
2019-01-28,0.015559233127797046,0.0037660105254083255,1.058468448729985
2019-01-29,0.013096934064767628,0.003169815074555231,1.0618235979747102
2019-01-30,-0.013883906180321398,-0.003354513019293851,1.0582616968911105
2019-01-31,0.0063845586702732035,0.0015522601985919742,1.059904394402889
2019-02-01,0.0196089690222049,0.004765206786661611,1.06495505801631
2019-02-04,0.020671185321057405,0.005025515090814607,1.0703070057314104
2019-02-05,-0.006265648770957644,-0.0015261907826746124,1.068673513044631
2019-02-06,-0.0013745822487521888,-0.0003347550124189949,1.0683157692295
